battery,cycle,discharge_capacity,avg_voltage,end_voltage,discharge_time,cv_charge_time,Re,Rct,SOH,RUL
B0005,1,1.856487,3.529829,3.277170,3690.234000,7051.265000,0.044669,0.069456,1.000000,124
B0005,2,1.846327,3.537320,3.300245,3672.344000,7398.594000,0.044669,0.069456,0.994527,123
B0005,3,1.835349,3.543737,3.327451,3651.641000,7369.875000,0.044669,0.069456,0.988614,122
B0005,4,1.835263,3.543666,3.314182,3631.563000,7303.422000,0.044669,0.069456,0.988567,121
B0005,5,1.834646,3.542343,3.305497,3629.172000,7390.719000,0.044669,0.069456,0.988235,120
B0005,6,1.835662,3.541335,3.302329,3652.281000,7687.391000,0.044669,0.069456,0.988782,119
B0005,7,1.835146,3.541025,3.293741,3650.828000,7682.563000,0.044669,0.069456,0.988504,118
B0005,8,1.825757,3.554133,3.316231,3572.453000,7008.672000,0.044669,0.069456,0.983447,117
B0005,9,1.824774,3.552936,3.297411,3550.594000,7056.031000,0.044669,0.069456,0.982917,116
B0005,10,1.824613,3.551206,3.288404,3551.250000,7064.234000,0.044669,0.069456,0.982831,115
B0005,11,1.824620,3.549292,3.266276,3530.250000,7023.344000,0.044669,0.069456,0.982834,114
B0005,12,1.814202,3.559759,3.296200,3491.016000,6782.171000,0.044669,0.069456,0.977223,113
B0005,13,1.813752,3.558082,3.271757,3470.281000,6878.797000,0.044669,0.069456,0.976981,112
B0005,14,1.813440,3.555692,3.264855,3470.000000,7676.594000,0.044669,0.069456,0.976813,111
B0005,15,1.802598,3.562747,3.309111,3450.297000,6848.750000,0.044669,0.069456,0.970972,110
B0005,16,1.802107,3.561452,3.288149,3429.407000,6950.172000,0.044669,0.069456,0.970708,109
B0005,17,1.802580,3.560342,3.260754,3409.484000,6895.000000,0.044669,0.069456,0.970962,108
B0005,18,1.803068,3.559119,3.229467,3390.422000,6946.828000,0.044669,0.069456,0.971226,107
B0005,19,1.802778,3.557887,3.224379,3390.281000,7108.125000,0.044669,0.069456,0.971069,106
B0005,20,1.847026,3.552038,3.258740,3591.734000,7276.750000,0.044669,0.069456,0.994904,105
B0005,21,1.847417,3.552567,3.218046,3552.297000,7109.125000,0.044843,0.067972,0.995114,104
B0005,22,1.836177,3.556794,3.257310,3531.578000,7102.812000,0.045101,0.068528,0.989060,103
B0005,23,1.825781,3.561410,3.280257,3492.907000,6933.594000,0.044172,0.068044,0.983460,102
B0005,24,1.825114,3.556611,3.279765,3511.594000,7685.390000,0.043787,0.068450,0.983100,101
B0005,25,1.825582,3.558674,3.205069,3431.937000,6984.578000,0.044639,0.068341,0.983352,100
B0005,26,1.814031,3.564103,3.276867,3431.125000,6973.438000,0.043559,0.068682,0.977131,99
B0005,27,1.814769,3.559588,3.231130,3412.406000,7534.828000,0.045265,0.068144,0.977528,98
B0005,28,1.813969,3.556833,3.222026,3410.688000,7492.235000,0.044484,0.067826,0.977098,97
B0005,29,1.802766,3.562441,3.290083,3410.718000,7071.406000,0.044414,0.068858,0.971063,96
B0005,30,1.804077,3.559141,3.251176,3392.719000,7750.734000,0.044535,0.067794,0.971769,95
B0005,31,1.851803,3.557316,3.249283,3470.672000,1674.484000,0.046106,0.070411,0.997476,94
B0005,32,1.830704,3.561871,3.260088,3414.109000,7012.375000,0.046463,0.069938,0.986112,93
B0005,33,1.819904,3.561759,3.281147,3395.219000,7074.047000,0.047724,0.069504,0.980294,92
B0005,34,1.809308,3.559731,3.309372,3386.000000,7622.641000,0.046940,0.069661,0.974587,91
B0005,35,1.804610,3.557594,3.295594,3368.187000,7038.188000,0.047028,0.071129,0.972056,90
B0005,36,1.799377,3.559724,3.317198,3368.266000,7595.532000,0.047755,0.071671,0.969237,89
B0005,37,1.788443,3.559062,3.347819,3358.719000,7494.547000,0.047023,0.069767,0.963348,88
B0005,38,1.782923,3.557016,3.337822,3339.500000,7059.672000,0.046245,0.071925,0.960374,87
B0005,39,1.773034,3.556248,3.364372,3331.265000,7693.922000,0.046186,0.071938,0.955048,86
B0005,40,1.773038,3.553276,3.336014,3321.188000,7791.906000,0.047737,0.070340,0.955050,85
B0005,41,1.767872,3.556266,3.355660,3321.844000,7621.641000,0.048383,0.069738,0.952267,84
B0005,42,1.762315,3.556310,3.361490,3311.828000,7369.859000,0.048038,0.070125,0.949274,83
B0005,43,1.767617,3.558951,3.346968,3327.391000,7310.407000,0.048087,0.069713,0.952130,82
B0005,44,1.762668,3.553442,3.371210,3312.078000,7929.360000,0.048151,0.067722,0.949464,81
B0005,45,1.751730,3.551012,3.379952,3293.172000,7911.875000,0.047547,0.073180,0.943573,80
B0005,46,1.741850,3.551318,3.391867,3275.328000,7504.250000,0.047641,0.071652,0.938250,79
B0005,47,1.736091,3.549003,3.389322,3265.016000,8025.937000,0.048424,0.072500,0.935148,78
B0005,48,1.793624,3.559765,3.239960,3328.937000,7141.016000,0.048934,0.067960,0.966139,77
B0005,49,1.783189,3.562345,3.311128,3329.266000,7024.187000,0.049431,0.070141,0.960518,76
B0005,50,1.767364,3.558337,3.332862,3301.579000,7416.515000,0.049748,0.071130,0.951994,75
B0005,51,1.757018,3.554013,3.333761,3283.563000,6856.125000,0.049885,0.071983,0.946421,74
B0005,52,1.746871,3.552376,3.361506,3275.125000,7748.063000,0.049216,0.071464,0.940955,73
B0005,53,1.741717,3.549619,3.352855,3265.656000,7150.937000,0.049946,0.070887,0.938179,72
B0005,54,1.736423,3.549381,3.365152,3266.093000,7438.218000,0.048970,0.071782,0.935327,71
B0005,55,1.726322,3.547212,3.385773,3257.594000,7649.312000,0.050229,0.071832,0.929886,70
B0005,56,1.715807,3.546705,3.408443,3248.593000,8050.359000,0.049715,0.071390,0.924222,69
B0005,57,1.710533,3.544630,3.409832,3238.766000,8083.782000,0.049132,0.072452,0.921382,68
B0005,58,1.706014,3.543629,3.417268,3240.140000,7986.218000,0.049210,0.073040,0.918948,67
B0005,59,1.700311,3.544495,3.421834,3230.109000,7899.406000,0.049506,0.072511,0.915875,66
B0005,60,1.694580,3.540920,3.427142,3229.781000,8067.422000,0.048652,0.072018,0.912788,65
B0005,61,1.684903,3.541196,3.438179,3212.469000,7141.906000,0.049166,0.073170,0.907576,64
B0005,62,1.674474,3.540671,3.465640,3213.219000,7658.781000,0.049234,0.072771,0.901958,63
B0005,63,1.674569,3.537605,3.444986,3203.578000,8131.032000,0.050548,0.072709,0.902009,62
B0005,64,1.663716,3.538422,3.467467,3195.125000,8218.094000,0.050119,0.073010,0.896164,61
B0005,65,1.659014,3.539286,3.471730,3195.313000,7909.797000,0.049132,0.069330,0.893631,60
B0005,66,1.653854,3.533690,3.466070,3186.297000,7620.704000,0.049793,0.073437,0.890851,59
B0005,67,1.642654,3.534368,3.485289,3176.438000,8152.406000,0.049865,0.073213,0.884818,58
B0005,68,1.637858,3.531294,3.480022,3167.593000,8012.078000,0.049812,0.074596,0.882235,57
